2026-08-01 10:05:24.669 [http-nio-8080-exec-9] INFO  c.e.t.c.UserOrganizationController - Fetching user with ID: 19 in org: 1
2026-08-01 10:05:31.663 [http-nio-8080-exec-10] INFO  c.e.t.c.UserOrganizationController - Setting organizationId with user's organization id: 1
2026-08-01 10:05:31.695 [http-nio-8080-exec-10] INFO  c.e.t.m.s.i.UserOrganizationServiceImpl - Creating new user entity to database for full name: Nguyen Van w
2026-08-01 10:06:37.337 [http-nio-8080-exec-3] INFO  c.e.t.c.UserOrganizationController - Updating user ID: 20 in org: 1
2026-08-01 10:06:37.344 [http-nio-8080-exec-3] INFO  c.e.t.m.s.i.UserOrganizationServiceImpl - Updating user record with ID: 20
2026-08-01 10:38:44.290 [Thread-43] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-12 - Shutdown initiated...
2026-08-01 10:38:44.299 [Thread-43] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-12 - Shutdown completed.
2026-08-01 10:38:44.800 [restartedMain] INFO  com.example.test.TestApplication - Starting TestApplication using Java 21.0.11 with PID 10892 (C:\Users\ADMIN88\jvabackend\test\build\classes\java\main started by ADMIN88 in C:\Users\ADMIN88\jvabackend\test)
2026-08-01 10:38:44.800 [restartedMain] INFO  com.example.test.TestApplication - No active profile set, falling back to 1 default profile: "default"
2026-08-01 10:38:45.631 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-13 - Starting...
2026-08-01 10:38:45.676 [restartedMain] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-13 - Added connection org.postgresql.jdbc.PgConnection@1ec8dd34
2026-08-01 10:38:45.677 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-13 - Start completed.
2026-08-01 10:38:46.294 [restartedMain] INFO  com.example.test.TestApplication - Started TestApplication in 1.687 seconds (process running for 45988.52)
2026-08-01 10:40:54.115 [Thread-47] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-13 - Shutdown initiated...
2026-08-01 10:40:54.117 [Thread-47] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-13 - Shutdown completed.
2026-08-01 10:40:54.245 [restartedMain] INFO  com.example.test.TestApplication - Starting TestApplication using Java 21.0.11 with PID 10892 (C:\Users\ADMIN88\jvabackend\test\build\classes\java\main started by ADMIN88 in C:\Users\ADMIN88\jvabackend\test)
2026-08-01 10:40:54.245 [restartedMain] INFO  com.example.test.TestApplication - No active profile set, falling back to 1 default profile: "default"
2026-08-01 10:40:57.052 [restartedMain] INFO  com.example.test.TestApplication - Starting TestApplication using Java 21.0.11 with PID 10892 (C:\Users\ADMIN88\jvabackend\test\build\classes\java\main started by ADMIN88 in C:\Users\ADMIN88\jvabackend\test)
